survived,pclass,sex,age,fare,embarked,Relative,journey_alone,Child,age_category,Fare_category,age_zscore,fare_zscore
0,3,male,22.0,7.25,S,1,No,No,Young_adult,very_cheap,-0.59,-0.57
1,1,female,38.0,71.2833,C,1,No,No,Adult,exp,0.64,0.94
1,3,female,26.0,7.925,S,0,Yes,No,Young_adult,moderate,-0.28,-0.55
1,1,female,35.0,53.1,S,1,No,No,Adult,exp,0.41,0.51
0,3,male,35.0,8.05,S,0,Yes,No,Adult,moderate,0.41,-0.55
0,3,male,29.69911764705882,8.4583,Q,0,Yes,No,Young_adult,moderate,0.0,-0.54
0,1,male,54.0,51.8625,S,0,Yes,No,Adult,exp,1.87,0.48
0,3,male,2.0,21.075,S,4,No,Yes,Child,exp,-2.13,-0.24
1,3,female,27.0,11.1333,S,2,No,No,Young_adult,moderate,-0.21,-0.47
1,2,female,14.0,30.0708,C,1,No,Yes,Teemager,exp,-1.21,-0.03
1,3,female,4.0,16.7,S,2,No,Yes,Child,exp,-1.98,-0.34
1,1,female,58.0,26.55,S,0,Yes,No,Elderly,exp,2.18,-0.11
0,3,male,20.0,8.05,S,0,Yes,No,Young_adult,moderate,-0.75,-0.55
0,3,male,39.0,31.275,S,6,No,No,Adult,exp,0.72,-0.0
0,3,female,14.0,7.8542,S,0,Yes,Yes,Teemager,cheap,-1.21,-0.55
1,2,female,55.0,16.0,S,0,Yes,No,Elderly,exp,1.95,-0.36
0,3,male,2.0,29.125,Q,5,No,Yes,Child,exp,-2.13,-0.05
1,2,male,29.69911764705882,13.0,S,0,Yes,No,Young_adult,moderate,0.0,-0.43
0,3,female,31.0,18.0,S,1,No,No,Adult,exp,0.1,-0.31
1,3,female,29.69911764705882,7.225,C,0,Yes,No,Young_adult,very_cheap,0.0,-0.57
0,2,male,35.0,26.0,S,0,Yes,No,Adult,exp,0.41,-0.13
1,2,male,34.0,13.0,S,0,Yes,No,Adult,moderate,0.33,-0.43
1,3,female,15.0,8.0292,Q,0,Yes,Yes,Teemager,moderate,-1.13,-0.55
1,1,male,28.0,35.5,S,0,Yes,No,Young_adult,exp,-0.13,0.1
0,3,female,8.0,21.075,S,4,No,Yes,Child,exp,-1.67,-0.24
1,3,female,38.0,31.3875,S,6,No,No,Adult,exp,0.64,0.0
0,3,male,29.69911764705882,7.225,C,0,Yes,No,Young_adult,very_cheap,0.0,-0.57
0,1,male,19.0,250.0,S,5,No,No,Young_adult,very_exp,-0.82,5.14
1,3,female,29.69911764705882,7.8792,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,3,male,29.69911764705882,7.8958,S,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,1,male,40.0,27.7208,C,0,Yes,No,Adult,exp,0.79,-0.08
1,1,female,29.69911764705882,146.5208,C,1,No,No,Young_adult,very_exp,0.0,2.71
1,3,female,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,2,male,66.0,10.5,S,0,Yes,No,Elderly,moderate,2.79,-0.49
0,1,male,28.0,82.1708,C,1,No,No,Young_adult,very_exp,-0.13,1.2
0,1,male,42.0,52.0,S,1,No,No,Adult,exp,0.95,0.49
1,3,male,29.69911764705882,7.2292,C,0,Yes,No,Young_adult,very_cheap,0.0,-0.57
0,3,male,21.0,8.05,S,0,Yes,No,Young_adult,moderate,-0.67,-0.55
0,3,female,18.0,18.0,S,2,No,No,Young_adult,exp,-0.9,-0.31
1,3,female,14.0,11.2417,C,1,No,Yes,Teemager,moderate,-1.21,-0.47
0,3,female,40.0,9.475,S,1,No,No,Adult,moderate,0.79,-0.51
0,2,female,27.0,21.0,S,1,No,No,Young_adult,exp,-0.21,-0.24
0,3,male,29.69911764705882,7.8958,C,0,Yes,No,Young_adult,cheap,0.0,-0.55
1,2,female,3.0,41.5792,C,3,No,Yes,Child,exp,-2.05,0.24
1,3,female,19.0,7.8792,Q,0,Yes,No,Young_adult,cheap,-0.82,-0.55
0,3,male,29.69911764705882,8.05,S,0,Yes,No,Young_adult,moderate,0.0,-0.55
0,3,male,29.69911764705882,15.5,Q,1,No,No,Young_adult,exp,0.0,-0.37
1,3,female,29.69911764705882,7.75,Q,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,3,male,29.69911764705882,21.6792,C,2,No,No,Young_adult,exp,0.0,-0.23
0,3,female,18.0,17.8,S,1,No,No,Young_adult,exp,-0.9,-0.32
0,3,male,7.0,39.6875,S,5,No,Yes,Child,exp,-1.75,0.2
0,3,male,21.0,7.8,S,0,Yes,No,Young_adult,cheap,-0.67,-0.55
1,1,female,49.0,76.7292,C,1,No,No,Adult,exp,1.48,1.07
1,2,female,29.0,26.0,S,1,No,No,Young_adult,exp,-0.05,-0.13
0,1,male,65.0,61.9792,C,1,No,No,Elderly,exp,2.72,0.72
1,1,male,29.69911764705882,35.5,S,0,Yes,No,Young_adult,exp,0.0,0.1
1,2,female,21.0,10.5,S,0,Yes,No,Young_adult,moderate,-0.67,-0.49
0,3,male,28.5,7.2292,C,0,Yes,No,Young_adult,very_cheap,-0.09,-0.57
1,2,female,5.0,27.75,S,3,No,Yes,Child,exp,-1.9,-0.08
0,3,male,11.0,46.9,S,7,No,Yes,Teemager,exp,-1.44,0.37
0,3,male,22.0,7.2292,C,0,Yes,No,Young_adult,very_cheap,-0.59,-0.57
1,1,female,38.0,80.0,,0,Yes,No,Adult,very_exp,0.64,1.14
0,1,male,45.0,83.475,S,1,No,No,Adult,very_exp,1.18,1.23
0,3,male,4.0,27.9,S,5,No,Yes,Child,exp,-1.98,-0.08
0,1,male,29.69911764705882,27.7208,C,0,Yes,No,Young_adult,exp,0.0,-0.08
1,3,male,29.69911764705882,15.2458,C,2,No,No,Young_adult,exp,0.0,-0.38
1,2,female,29.0,10.5,S,0,Yes,No,Young_adult,moderate,-0.05,-0.49
0,3,male,19.0,8.1583,S,0,Yes,No,Young_adult,moderate,-0.82,-0.54
1,3,female,17.0,7.925,S,6,No,Yes,Teemager,moderate,-0.98,-0.55
0,3,male,26.0,8.6625,S,2,No,No,Young_adult,moderate,-0.28,-0.53
0,2,male,32.0,10.5,S,0,Yes,No,Adult,moderate,0.18,-0.49
0,3,female,16.0,46.9,S,7,No,Yes,Teemager,exp,-1.05,0.37
0,2,male,21.0,73.5,S,0,Yes,No,Young_adult,exp,-0.67,0.99
0,3,male,26.0,14.4542,C,1,No,No,Young_adult,moderate,-0.28,-0.4
1,3,male,32.0,56.4958,S,0,Yes,No,Adult,exp,0.18,0.59
0,3,male,25.0,7.65,S,0,Yes,No,Young_adult,cheap,-0.36,-0.56
0,3,male,29.69911764705882,7.8958,S,0,Yes,No,Young_adult,cheap,0.0,-0.55
0,3,male,29.69911764705882,8.05,S,0,Yes,No,Young_adult,moderate,0.0,-0.55
1,2,male,0.83,29.0,S,2,No,Yes,Child,exp,-2.22,-0.05
